business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
___UdvaxCnwsQ7nA1eKZAQ,PHLASH,NULL,Philadelphia,PA,19106,39.956596,-75.165024,3.5,41,1
_-c2qTsM7fEzrIfHWDlEqg,"Family Tree & Garden",NULL,"Santa Barbara",CA,93105,34.420831,-119.698190,4.0,5,1
_-XpHIzBYNzEdNHX72l0Vw,"R & I Construction Company",NULL,Philadelphia,PA,19152,40.061868,-75.046512,4.0,9,1
_040EfopTZs5BfvqClhvhw,"Bryan Lawn Care",NULL,Nashville,TN,37211,36.077543,-86.731579,3.0,9,1
_2-9uuL5pfAi9lvc_GNCbw,"Cotton Candy Bar",NULL,Tampa,FL,33611,27.890814,-82.502346,5.0,8,1
_25lQXPxtNsgE9eWD8cQzQ,"Foolish Pleasure Hot Air Balloon Rides",NULL,Tucson,AZ,85743,32.354980,-111.093335,5.0,18,1
_2BPnrpByKEPgHDlpfpQfA,"J&J Studios",NULL,Philadelphia,PA,19102,39.955624,-75.164753,5.0,24,1
_3uzefAEsn4bkCO0M6lG6g,"Angel Pet Sitting",NULL,Reno,NV,89511,39.380903,-119.927795,4.5,10,1
_5rN5py0CJSAVYWDor_02Q,"GameTruck Cherry Hill",NULL,Haddonfield,NJ,08033,39.896756,-75.031909,4.5,12,1
_6nzD_8pIPj4v6VNN48XWw,"Cheap Cheap Movers",NULL,"St. Louis",MO,63146,38.688757,-90.464391,2.0,5,1
_79Z5wHA9hO-XvEASrb-Mg,"Easy Living Home Care",NULL,Abington,PA,19001,40.131382,-75.137025,4.5,6,1
_7AoembU6rEQ6BqZm2dc1Q,"Indy Boot Camps",NULL,Indianapolis,IN,46214,39.788408,-86.286951,3.0,8,1
_7G_j42CkHQrsPeTncRJwg,"Master Garage Door",NULL,Brandon,FL,33511,27.843921,-82.293661,5.0,47,1
_9llyHSLPAGEHAcvTWt57Q,"Lara’s Cleaning Services",NULL,Tucson,AZ,85706,32.148566,-110.962585,5.0,8,1
_9LYFeppGSWnnQvzKrD_fQ,"Advanced Locksmith Services",NULL,Sparks,NV,89432,39.541653,-119.733787,5.0,20,1
_agzW_0F9uSJ7i6EJ9ufeg,"Rebecca Gay Doula CBE CLC",NULL,Tampa,FL,33601,27.940102,-82.450194,5.0,33,1
_Au951YoX51M4pwA1HzKcQ,"Green Lizard Lawn Care",NULL,Riverview,FL,33568,27.853980,-82.314440,2.5,6,1
_B_7jckylxM2WqI6HMQGDw,"Instinct Dog Behavior & Training - Nashville",NULL,Nashville,TN,37011,36.194240,-86.758442,5.0,19,1
_BEP3GuBR4TvxedLOQd6JA,"Cascade Pool Service",NULL,Philadelphia,PA,19090,40.149891,-75.125349,4.0,10,1
_Cqf_2xTe37IL2obhQtgiw,"Valley Carpet Care",NULL,Meridian,ID,83646,43.643494,-116.436000,5.0,11,1
_d5UWptr2v7BlboeF5_MBQ,"Bob's Appliance Service",NULL,Warminster,PA,18974,40.205368,-75.090315,2.0,9,1
_DW3iAmAk6w_vpUrPhRd6Q,"Gandy Bridge",NULL,"Tampa Bay",FL,33601,27.879181,-82.581262,4.5,13,1
_e717sd9Ww9u4dnRBhNocQ,"Off Leash K9 Training",NULL,"St. Petersburg",FL,33713,27.789678,-82.680746,5.0,17,1
_E7aSVCukvjNgV-HiuVZnw,"Cordero Pest Control",NULL,"Santa Barbara",CA,93190,34.420000,-119.700000,5.0,7,1
_E7p_2LZk7cat6mnIx2A8g,"The Biggest Little Fashion Truck",NULL,Reno,NV,NULL,39.529633,-119.813803,4.5,6,1
_EeS7Zb0Co6uyvFZLXHH7g,Lyft,NULL,Nashville,TN,37219,36.166470,-86.783737,3.5,42,1
_g8GdOBOrpoU6jTWOHr8ig,"Leupold Plumbing & Heating",NULL,Levittown,PA,19056,40.155426,-74.882875,4.0,5,0
_GameVII8zP9Ymtr7OePgQ,matt-hair,NULL,Philadelphia,PA,19103,39.953187,-75.174967,4.0,36,1
_h9b34onQc_26F9mvmsNhw,"J&M Gutter Pros",NULL,Voorhees,NJ,08043,39.851945,-74.961517,5.0,22,1
_HmySkpAYC3ewKzPiMpjSg,"317 Juicery",NULL,Indianapolis,IN,46203,39.737577,-86.096922,5.0,11,1
_iuer-e5Exq3w5Zkf1sOEg,"Positive Energy Electrical Contractors",NULL,"St. Louis",MO,63109,38.584419,-90.294880,5.0,5,0
_jnX0tG-hlvJEFfYYm_fdQ,"John Snyder Plumbing and Heating",NULL,Philadelphia,PA,19128,40.036650,-75.218808,4.5,29,1
_l9J1_7GAaJDDNtHBz99kQ,"Chic Cosmetique",NULL,Philadelphia,PA,19130,39.968261,-75.174967,5.0,8,1
_lbizmMqsEONM0hxhz3Pxg,"Tiara Styles Beauty",NULL,Tampa,FL,33647,28.143432,-82.334338,2.5,6,1
_LHkm-m9a_IDqfqfdWggHQ,"Dj Hecktik",NULL,"Santa Barbara",CA,93101,34.420334,-119.710749,5.0,67,1
_lKecLTU9C1tnU_RYzUQ2g,"Tree Monkey Tree Trimming",NULL,Tucson,AZ,85719,32.254652,-110.944703,5.0,11,1
_mNDy_Rdd_t4cmZldeMpPw,"Stranded Towing",NULL,Indianapolis,IN,46204,39.771526,-86.156823,1.5,9,1
_Mwn4CjSoBXAc_eCeLDleg,"Rover Veterinary Care",NULL,Reno,NV,89503,39.542462,-119.841017,5.0,15,1
_mXx2LK2F1Axbj2KXyVMig,"Narola Design + Letterpress",NULL,Philadelphia,PA,19147,39.935064,-75.151619,5.0,7,1
_Nc779Dzh8S-uZy3RLPT-Q,"Tres Movers",NULL,Metairie,LA,70003,30.008562,-90.215087,5.0,8,1
_o9R-hWBBFZEuKTLdVUwGw,"Inner Makeup Astrology",NULL,Media,PA,19063,39.916778,-75.387693,5.0,14,1
_Om9umJQRS8Gi-PTWJJyYg,"Taceaux Loceaux",NULL,"New Orleans",LA,70119,29.979811,-90.079349,4.0,28,0
_PdmupHWKJrvVMgDu9I9nQ,"Robert A Wortman, OD",NULL,Philadelphia,PA,19102,39.955624,-75.164753,5.0,12,1
_PZGrevgQ_YBdX5CUl5IdA,"AA Appliance Repair",NULL,"Santa Barbara",CA,93111,34.463083,-119.806291,3.5,13,1
_qmFWIAH9ZATeQpXxdm8rg,"Cloud Climbers Jeep Tours",NULL,"Santa Barbara",CA,93101,34.420334,-119.710749,4.5,149,1
_QVaLI9Gn0dDi71eR4W9yw,"Absolute Best Appliance",NULL,Largo,FL,33774,27.884754,-82.826362,4.0,23,1
_RMb-HO3vInP6oa6jF8TLQ,"Santa Barbara Woodfire Catering",NULL,Goleta,CA,93117,34.435829,-119.827639,5.0,21,1
_sE5Fw4Ui2XbvMLPUL9Bcw,"2 Sisters Photography",NULL,Tucson,HI,85641,32.227086,-110.961609,5.0,15,0
_sszFtdqzembcl6UNdXOkA,"Maggie B’s Cookies",NULL,"Sparks ",NV,89436,39.603484,-119.707853,5.0,5,1
_sW_oA5e_xdDwz05fGS7pQ,"Stack’s Culinary Creations",NULL,Tucson,AZ,85707,32.178188,-110.885095,4.5,11,1
_SwAnKgAksxlHerN3CrQDA,"OxyBrite of Tampa",NULL,Clearwater,FL,33759,27.962869,-82.799835,4.5,5,1
_T2a9ZTB-iujOpXRS7Ji0Q,"Andy the Wildlife Trapper",NULL,Goleta,CA,93117,34.435829,-119.827639,4.5,6,1
_tl85KAjEM4F8tpcUzb2lg,"Back On The Road For Less, LLC",NULL,Trenton,NJ,08618,40.248433,-74.786370,2.5,6,1
_TpBAJ-ZYQjkJ47qYOkKwg,"J&A Arcos Construction",NULL,Philadelphia,PA,19104,39.958359,-75.195393,5.0,5,1
_uf1gqKKWtHkGOyrhOdaLg,"Empire Today",NULL,"Maryland Heights",MO,63043,38.725445,-90.459672,2.0,37,1
_UJ7Sz-A8AZKGHdDlD0HHw,AquaSteamer,NULL,"Cherry Hill",NJ,08003,39.881709,-74.955948,5.0,6,1
_uRKysKoPbd8IT8zOe5b6Q,"A Perfect Touch Limo and Party Bus",NULL,"St Louis",MO,63147,38.699949,-90.219777,2.5,19,1
_v4POAdWWpesGEMQyClNww,"Infinity Rentals",NULL,"Santa Barbara",CA,93105,34.420831,-119.698190,1.0,25,1
_VtTxYLqs5p91np3KOzE8g,"5 Star Plumbing And Drains",NULL,Seffner,FL,33584,27.983633,-82.275647,4.0,10,1
_vvrOZdudfwHOPeErjcL7A,"AZUMA Leasing",NULL,Nashville,TN,37210,36.148246,-86.736608,3.0,5,1
_X5XV72147fLR-2fJ7UthQ,"WM Brooks III LLC",NULL,Glendale,NJ,08043,39.853725,-74.982390,5.0,8,1
_x6-LjtfWgTYm1wWOWsl_w,"Affordable Seamless Gutters",NULL,Tucson,AZ,85735,32.227832,-110.943959,4.5,11,1
_xgXJqFWBH6bpOH64d0prw,"Svetlana's Cleaning Service",NULL,Yardley,PA,19067,40.245664,-74.845997,4.5,6,1
_yk7klwrfUIX1qhaITV2nA,"Bacon Boss",NULL,Tampa,FL,33602,27.955269,-82.456320,4.0,48,1
_YPlKEAMWAAZ---UrR6JUg,"Voodoo Sweets",NULL,Harvey,LA,70058,29.869933,-90.065334,5.0,7,1
_YRHez7A5IUaej4WJFkWRw,"At Your Service Fine Food & Catering",NULL,"Santa Barbara",CA,93101,34.420334,-119.710749,5.0,6,1
_YzvoswQ5OZttgxDhbEgCw,"Happy Tails of South Jersey",NULL,Marlton,NJ,08053,39.891225,-74.921832,4.0,7,1
_ZWVhrUfp3kRkIUHZUzmrA,"JpGlover Moving",NULL,"Land O Lakes",FL,34639,28.242486,-82.442777,5.0,6,1
--sXnWH9Xm6_NvIjyuA99w,Philadelphia,NULL,Philadelphia,PA,NULL,39.952584,-75.165222,4.0,29,1
-1-8eimDEnS9fezJNZkQkQ,"Wire To Wire",NULL,Havertown,PA,19083,39.976366,-75.314980,4.0,5,1
-1g8Qb6t_mSX_ak1thMmrQ,FreeWalkingTourSB,NULL,"Santa Barbara",CA,93101,34.420334,-119.710749,5.0,48,1
-1i-mOn_jxKUWmqJDk3JNg,"Oltmann Weddings",NULL,"New Orleans",LA,70119,29.951066,-90.071532,4.0,5,1
-1w9JMktu9oWTXwNqtZQoA,"Sazon El Cebo-Yon",NULL,Tucson,AZ,85705,32.268074,-110.992390,4.0,16,1
-3Z9SadSY-w_ckVGQ0dedQ,"Center City Towing",NULL,Philadelphia,PA,19148,39.912060,-75.148701,2.5,8,1
-6mXhSbA_u1ofHiaNnplEQ,"Calling All Dogs and Cats",NULL,"Saint Petersburg",FL,33702,27.851204,-82.632138,5.0,6,1
-6p-MRp5mP35EN5rp-84nA,"Southwest Pest Solutions",NULL,Tucson,AZ,85752,32.350679,-111.046952,4.5,7,1
-7MoVXn7R2Rc9jrMVsK7pQ,"De Colores Photography",NULL,"Santa Barbara",CA,93101,34.420334,-119.710749,5.0,18,1
-8ACWxUmr0ZiEYctdlgvAA,"Dippel Plumbing & Heating Company",NULL,"Saint Louis",MO,63109,38.584419,-90.294880,3.0,9,0
-aB4ivRDzRb57v9IvN9zog,"Nashville Hypnosis",NULL,Nashville,TN,37221,36.152381,-86.789389,4.5,6,1
-bAnaYzQ1vdKoZYGfe8E_w,Sweetfixx,NULL,"Saint Louis",MO,63101,38.630539,-90.192822,4.5,9,0
-Bx1sXOPz_Vjn8C87-pFOg,"High End Appliance",NULL,Lansdale,PA,19446,40.241495,-75.283786,1.0,10,1
-Cg7YHZruPxmj--xoefNvQ,"Bin There Dump That",NULL,Brentwood,MO,63144,38.615747,-90.351302,5.0,11,1
-d0NkfQFuNpr6V2kdWJMSw,RenoTahoeDogs,NULL,Reno,NV,89523,39.544823,-119.951134,5.0,16,1
-d7jgvf-Aq3C-LFrBysFXA,"Tawny Ballard Photography",NULL,"St. Louis",MO,63116,38.584487,-90.266699,5.0,5,1
-dc49jsYqR2zNblJkB9i8w,"Homeward Bound Veterinary Services",NULL,Reno,NV,89523,39.544484,-119.950926,5.0,40,1
-EyRrBY1d-EQZrTIXWH4BQ,"Spa Guy Dave",NULL,Pennsauken,NJ,08109,39.967107,-75.031909,4.5,6,1
-FeeEqYmAJ00G66ngdxFZg,"Tastings and Tours",NULL,"New Hope",PA,18938,40.364273,-74.951279,4.5,19,1
-Fka99c-tJ-epWYNIobqyQ,"Pizza Mizza",NULL,"Santa Barbara",CA,93105,34.420831,-119.698190,3.5,169,0
-FkOGy1AP9LXuoeqZpp06A,"Lap of Love Veterinary Hospice and In-Home Euthanasia",NULL,Lutz,FL,33549,28.149459,-82.442777,5.0,52,1
-gFg1yDJPXsfyest9loNrQ,"Dani Benton Photography",NULL,"New Orleans",LA,70117,29.968268,-90.032653,5.0,21,1
-gszhMcUrwHwDq6F2Pv4ZQ,"Craig Paul Greene",NULL,"Santa Barbara",CA,93101,34.420334,-119.710749,5.0,5,1
-H6a4mIT5GbQiiWZz2luOw,"Droopy's BBQ",NULL,Indianapolis,IN,46237,39.678804,-86.083542,4.5,12,1
-HbZLx47yHLdp98kSEog2g,"Delintz Dryer Vent Cleaning Service",NULL,Tampa,FL,33618,28.077108,-82.502346,4.0,14,1
-HHBEjgo257YRvix8an2yg,"MDC Mobile Detailing Concepts",NULL,Tucson,AZ,85719,32.254652,-110.944703,5.0,21,0
-IYP0bmh-Mwkd7t71JSM4A,"A & E STAR SERVICES",NULL,"New Orleans",LA,70116,29.991838,-90.091777,3.0,7,1
-jkoDJwgzOu3uiVIT6FGMw,"Wise Cut Tree Service",NULL,Gretna,LA,70056,29.893087,-90.027987,5.0,6,1
-jZXu7_FePOSAkfSv3oD3Q,"1-Less Chore Dry Cleaning, Shirts & More",NULL,"Bryn Mawr",PA,19010,40.003041,-75.272543,4.5,18,1
-kIJmSUZiBygYu6KYWHGQg,"Scotty's Hot Dogs",NULL,Boise,ID,83709,43.595038,-116.276819,5.0,15,1
-kkPhVn7P-QqtinpW-bjEg,"Max Cool Air Conditioning",NULL,Riverview,FL,33579,27.791780,-82.290915,2.5,6,1
-kzNKaCPg4l3i0fWg8jt3w,"All Seasons Lawn Care",NULL,"Saint Louis",MO,63139,38.615903,-90.294880,1.5,6,1
__2LkeVwTuKar5AE95Idzw,McDonald's,"11007 Bloomingdale Ave",Riverview,FL,33569,27.893199,-82.319844,1.5,13,1
__4gkf_0UJW78rkRzFm6Gw,"Cafe Baladi","235 Lancaster Ave",Malvern,PA,19355,40.041639,-75.542839,5.0,54,1
__93GWaEEcUf9TSyyJbkmQ,"Sunwest Park","17362 Old Dixie Hwy",Hudson,FL,34667,28.404785,-82.671966,3.5,48,1
__AB6oytCW4hD2Jca02kRA,Chick-fil-A,"184 W County Ctr N Spc, Space N","Des Peres",MO,63131,38.599651,-90.446909,3.5,15,1
__aP-gQsROtMFNWR51oMYA,"Wildcat House","1801 N Stone Ave",Tucson,AZ,85705,32.243958,-110.972090,3.0,13,0
__bDOPMbPcYaC9WsCyAiWQ,"Fantastic Sams Cut and Color","1345 Easton Rd",Warrington,PA,18976,40.250494,-75.133035,4.0,5,1
__bSsYCu2KDn8pb31Epgrg,"American Seafoods","3034 George Nick Connor Dr","New Orleans",LA,70119,29.988917,-90.069586,5.0,5,1
__CYdei4W4pVb4SThJ-HYg,"Raider Axe Lodge","5018 N Coolidge Ave, Bldg 2 Ste D",Tampa,FL,33614,27.992811,-82.517377,5.0,35,0
__Dbc84VjNmVLNgyTUP4iw,"Vampire Penguin","10789 Park Blvd",Seminole,FL,33772,27.841166,-82.788355,4.5,79,1
__dp19BldlU5bGy87LJ0KA,Revibed,"1402 N Sheldon St",Indianapolis,IN,46201,39.786007,-86.132244,5.0,5,1
__FDUGj1N-HrvAmFriy2Vg,"Arizona Steel & Ornamental Supply","3150 E Benson Hwy",Tucson,AZ,85706,32.156449,-110.925470,3.0,6,1
