user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
___6aix-XvFcQz3GauAPpw,John,7,"2011-09-26 18:10:05",30,0,2,0,2.75,0,0,0,0,0,0,0,0,0,0,0
___9Jl-8aF7z58JdTWlyjw,Erin,10,"2011-04-23 23:47:24",2,2,2,0,3.90,0,0,0,0,0,0,1,0,0,0,0
___aO4EhZULBsJPvJ4rMhA,David,14,"2010-12-04 22:21:55",20,6,4,0,1.69,0,0,0,0,0,0,0,0,0,0,0
___DjEwDb9e7Ny-NOiezZw,Patama,10,"2013-10-28 19:29:04",3,0,1,0,4.80,0,0,0,0,0,0,0,0,0,0,0
___hQj63mwgFDhehNwv3ZQ,Taleena,11,"2014-10-25 21:26:56",6,0,1,0,4.09,0,0,0,0,0,1,0,0,0,0,0
___I9ZYdYGkZ6dMYxwJEIQ,Jim,239,"2011-08-17 17:35:52",281,61,121,13,3.99,1,3,1,1,0,8,11,4,4,2,2
___Pul-lcE0y9hjAer8GrQ,DeAnna,1,"2015-02-15 15:49:36",1,1,0,0,1.00,0,0,0,0,0,0,0,0,0,0,0
___tX0MgAQYPaWssEjSxKw,Mary,2,"2016-02-22 00:12:38",1,0,0,0,3.00,0,0,0,0,0,0,0,0,0,0,0
__--6h87PZrkaT0SAuQc-w,Jiban,2,"2016-10-03 03:57:50",3,1,1,0,5.00,0,0,0,0,0,0,0,0,0,0,0
__-2EyiraNzLPrq6o1QDIA,Dave,2,"2018-07-06 17:09:08",0,0,0,0,4.50,0,0,0,0,0,0,0,0,0,0,0
__-6iHRGqL_K9oM9KNs6pg,Morgan,22,"2014-12-21 19:58:02",11,2,1,0,2.39,0,0,0,0,0,0,0,0,0,0,0
__-8WEg7xD0CwCDu04MzBA,Maria,39,"2010-05-03 16:50:07",20,2,8,1,4.00,0,0,0,0,0,0,0,0,0,0,0
__-Kt26YrtJxGdWs8FqKCg,Shane,11,"2012-08-06 04:44:19",10,0,7,3,4.00,0,0,0,0,0,0,1,2,2,0,0
__-LqRflgxlTHOxsGMBt_Q,Craig,9,"2012-11-20 22:57:48",17,1,2,0,3.67,0,0,0,0,0,1,0,0,0,0,0
__-uwr6nLywqDa8d_QD4-A,Rosemary,18,"2010-03-28 14:46:49",6,5,7,0,3.50,0,0,0,0,0,0,1,1,1,1,0
__-w2mUbDTIC6u1lkIEWwg,Zach,13,"2012-12-24 04:54:21",2,0,2,1,4.46,0,0,0,0,0,0,0,0,0,0,0
__-WWzo7OEEd01pOA-rhPw,Ron,8,"2011-11-21 13:53:41",11,3,1,1,1.00,0,0,0,0,0,0,0,0,0,0,0
__-YOsZp7ilfYVwD8Wdszg,David,2,"2014-10-03 14:11:46",2,0,0,0,3.00,0,0,0,0,0,0,0,0,0,0,0
__-zs2o-TGiRzK4Wqmgl2A,John,2,"2017-04-12 04:12:03",5,6,4,0,1.00,0,0,0,0,0,0,0,0,0,0,0
__05rytNjsye9MBhqB0DMA,Marck,1247,"2006-02-12 20:20:32",1215,391,661,38,3.65,16,4,3,0,0,21,28,42,42,18,3
__0cufkRcZf12oTT04xGLg,Mat,36,"2014-10-31 20:18:36",15,4,1,0,3.65,0,0,0,0,0,0,0,0,0,0,0
__0D94KGQl7dBCcA2MmH0w,Chris,48,"2012-07-13 11:32:20",11,1,2,0,3.50,0,0,0,0,0,1,0,0,0,0,0
__0TajwzDW-qJ2301ooWUg,B,11,"2015-02-25 21:07:52",22,1,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0
__11RIhbXG4zcO8uDn6mHA,Wendy,9,"2014-08-10 04:59:24",9,1,1,0,4.78,0,0,0,0,0,0,0,0,0,0,0
__16yuYE59Gx29gvOZTR6w,Katie,39,"2010-09-29 14:59:03",32,1,8,0,4.39,0,0,0,0,0,0,0,0,0,0,0
__1asak0wPl1pufu6BlqKQ,Jack,5,"2013-10-12 00:56:06",3,0,1,0,5.00,0,0,0,0,0,0,1,0,0,0,0
__1cb6cwl3uAbMTK3xaGbg,David,14,"2015-03-03 06:38:22",9,3,4,1,3.79,0,0,0,0,0,0,0,0,0,0,0
__1CkIcPxYtZv7StTnxO_Q,Christal,2,"2014-12-30 14:53:41",0,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0
__1cS1KLwDYRj--yuztW6Q,Natasha,17,"2016-03-02 18:11:15",7,2,3,0,3.94,0,0,0,0,0,0,1,0,0,0,0
__1iEm-E3tvKuToIOCb76Q,Jana,9,"2012-12-19 23:43:21",9,1,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0
__1lgmhI9dUA-SmST9K0Qw,Lu,13,"2013-06-26 15:58:45",5,0,1,0,4.14,0,0,0,0,0,0,0,0,0,0,0
__1VuO0yCAVinTp-obV3Rw,Hollie,9,"2011-03-03 16:53:20",14,2,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0
__1xp06fg6r399rQ3YKgzg,Ted,1,"2015-01-02 17:00:56",0,0,0,0,1.00,0,0,0,0,0,0,0,0,0,0,0
__27MLFHr5zoQL9AtWmhBQ,Rory,27,"2013-03-21 21:06:18",20,4,3,2,4.00,0,1,0,0,0,1,0,0,0,1,0
__28vy-j39lqPHw7TxWtEg,Jim,1,"2019-02-28 02:13:23",0,0,0,0,5.00,0,0,0,0,0,0,0,0,0,0,0
__2D3wkMJMFhFMyIf4PEcQ,Sheana,2,"2015-05-25 04:14:04",0,0,1,0,5.00,0,0,0,0,0,0,0,0,0,0,0
__2dq1OFY1onI-e60macuw,Jordan,12,"2012-04-04 04:18:56",19,5,2,0,3.75,0,0,0,0,0,0,0,0,0,0,0
__2E0Kty7RfV6s75SeCiRA,Jess,60,"2011-07-26 22:01:11",61,9,15,1,4.60,0,0,0,0,0,1,2,0,0,0,0
__2fdI2i7G26SadNxTdvkQ,Laura,1,"2019-08-31 15:34:53",0,0,0,0,1.00,0,0,0,0,0,0,0,0,0,0,0
__2k5AUq3nZX-KOAasMYUw,Sherrie,55,"2011-06-03 04:43:32",37,10,7,2,3.51,0,0,0,0,0,1,0,1,1,0,0
__2l1TMk-Jez1pxk4Bx_bQ,Gigi,9,"2017-11-05 15:39:42",13,0,3,0,3.58,0,0,0,0,0,0,0,0,0,1,0
__2QMiLNNGDCUkuX2fCeoQ,"Dee Dee",3,"2012-07-10 18:18:02",4,1,0,0,1.00,0,0,0,0,0,0,0,0,0,0,0
__2wLDV_CnJx6CIRmrtjKw,Ashley,12,"2014-02-26 23:24:23",13,0,1,0,5.00,0,0,0,0,0,0,0,0,0,0,0
__2Xu2F0Z1gAodYpIdOsCQ,Ainsley,253,"2009-11-25 00:11:21",637,289,364,44,3.80,8,1,3,3,0,14,9,44,44,8,11
__32YQ1M_pd1hIUO5bJp_A,Joe,1,"2016-05-22 01:10:37",0,0,0,0,5.00,0,0,0,0,0,0,0,0,0,0,0
__390_mFOe5gj4ZQKwPTsA,Dan,5,"2015-06-25 12:08:36",4,3,1,0,2.33,0,0,0,0,0,1,0,0,0,0,0
__3gdV_ALx9QQzdXWHHUew,Hailie,46,"2011-08-26 22:27:18",68,3,21,1,4.16,3,0,0,0,0,3,0,3,3,2,1
__3Gtw0JxmlCnJfIMPxMHg,Nina,13,"2016-04-30 00:36:24",9,5,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0
__3hiX9mWGSTO8wDnUy13g,Ivette,1,"2020-03-28 23:01:37",0,0,0,0,1.00,0,0,0,0,0,0,0,0,0,0,0
__3hynYrfQMAy-3WHIgl2A,Monica,41,"2010-06-25 18:40:18",33,5,4,7,4.29,1,0,1,1,0,0,2,0,0,3,0
__3k0ljGLsCexgdWDXuNGg,Barbara,4,"2013-08-23 16:47:50",2,0,0,0,4.50,0,0,0,0,0,0,0,0,0,0,0
__3Lm1VjoOK5WHL2tt4Z6w,Victoria,82,"2010-07-18 18:16:00",92,42,22,3,3.51,1,1,0,0,0,3,2,2,2,0,0
__3QdKAjZOrDt7cMapFbzA,Jakob,3,"2015-06-17 16:38:39",1,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0
